"","X","hospital_id","name","addr","city","region","country","phone","long","lat","trial_code"
"1",1,"00166de9","Hospital Universitario La Zarzuela","Calle Mendez Nuñez, 40, 38003","Madrid","Comunidad de Madrid","Spain","+34 92 903 84 19","2.6305020","39.5835960","NCT04147234"
"2",1,"00166de9","Hospital Universitario La Zarzuela","Calle Mendez Nuñez, 40, 38003","Madrid","Comunidad de Madrid","Spain","+34 92 903 84 19","2.6305020","39.5835960","NCT04613596"
"3",1,"00166de9","Hospital Universitario La Zarzuela","Calle Mendez Nuñez, 40, 38003","Madrid","Comunidad de Madrid","Spain","+34 92 903 84 19","2.6305020","39.5835960","NCT04762069"
"4",1,"00166de9","Hospital Universitario La Zarzuela","Calle Mendez Nuñez, 40, 38003","Madrid","Comunidad de Madrid","Spain","+34 92 903 84 19","2.6305020","39.5835960","NCT05338970"
"5",2,"00cf70f1","Hospital De Jaca Salud","Paseo Paseo De Miramon, 174, 20009","Jaca","Aragón","Spain","+34 92 558 57 71","-15.4300210","28.1248260","NCT05398094"
"6",3,"00d40fd9","EAP | Sardenya","C. de Menéndez y Pelayo, 4, 46010","Barcelona","Cataluña","Spain",NA,"-2.9154280","43.2583270","NCT04465487"
"7",3,"00d40fd9","EAP | Sardenya","C. de Menéndez y Pelayo, 4, 46010","Barcelona","Cataluña","Spain",NA,"-2.9154280","43.2583270","NCT04711252"
"8",4,"00d5e4dd","Hospital De Terrassa","Calle Santa Teresa, 9, 35017","Terrassa","Cataluña","Spain",NA,"-16.2548350","28.4697990","NCT04657991"
"9",4,"00d5e4dd","Hospital De Terrassa","Calle Santa Teresa, 9, 35017","Terrassa","Cataluña","Spain",NA,"-16.2548350","28.4697990","NCT04210115"
"10",5,"014c74a5","Hospital Clinic De Barcelona","Calle Domingo J Manrique, 2, 38006","Barcelona","Cataluña","Spain",NA,"-8.6502210","42.4300060","NCT02448420"
"11",5,"014c74a5","Hospital Clinic De Barcelona","Calle Domingo J Manrique, 2, 38006","Barcelona","Cataluña","Spain",NA,"-8.6502210","42.4300060","NCT03768570"
"12",5,"014c74a5","Hospital Clinic De Barcelona","Calle Domingo J Manrique, 2, 38006","Barcelona","Cataluña","Spain",NA,"-8.6502210","42.4300060","NCT04145349"
"13",5,"014c74a5","Hospital Clinic De Barcelona","Calle Domingo J Manrique, 2, 38006","Barcelona","Cataluña","Spain",NA,"-8.6502210","42.4300060","NCT05012254"
"14",5,"014c74a5","Hospital Clinic De Barcelona","Calle Domingo J Manrique, 2, 38006","Barcelona","Cataluña","Spain",NA,"-8.6502210","42.4300060","NCT05171777"
"15",6,"01520f2c","Consorcio Hospital General Universitario De València","Calle La Estrecha,, 33, 33011","València","Comunitat Valenciana","Spain","+34 96 657 71 85","-5.0890010","37.5343660","NCT03377491"
"16",6,"01520f2c","Consorcio Hospital General Universitario De València","Calle La Estrecha,, 33, 33011","València","Comunitat Valenciana","Spain","+34 96 657 71 85","-5.0890010","37.5343660","NCT04522323"
"17",6,"01520f2c","Consorcio Hospital General Universitario De València","Calle La Estrecha,, 33, 33011","València","Comunitat Valenciana","Spain","+34 96 657 71 85","-5.0890010","37.5343660","NCT04619797"
"18",6,"01520f2c","Consorcio Hospital General Universitario De València","Calle La Estrecha,, 33, 33011","València","Comunitat Valenciana","Spain","+34 96 657 71 85","-5.0890010","37.5343660","NCT04277637"
"19",6,"01520f2c","Consorcio Hospital General Universitario De València","Calle La Estrecha,, 33, 33011","València","Comunitat Valenciana","Spain","+34 96 657 71 85","-5.0890010","37.5343660","NCT04595565"
"20",6,"01520f2c","Consorcio Hospital General Universitario De València","Calle La Estrecha,, 33, 33011","València","Comunitat Valenciana","Spain","+34 96 657 71 85","-5.0890010","37.5343660","NCT04082936"
"21",7,"02e5baa2","Hospital Comarcal De Blanes","Calle Doctor Mallafre Guasch, 4, 43007","Blanes","Cataluña","Spain","+34 95 237 83 26","-3.6853370","40.4601660","NCT04421963"
"22",7,"02e5baa2","Hospital Comarcal De Blanes","Calle Doctor Mallafre Guasch, 4, 43007","Blanes","Cataluña","Spain","+34 95 237 83 26","-3.6853370","40.4601660","NCT04472429"
"23",7,"02e5baa2","Hospital Comarcal De Blanes","Calle Doctor Mallafre Guasch, 4, 43007","Blanes","Cataluña","Spain","+34 95 237 83 26","-3.6853370","40.4601660","NCT05101265"
"24",8,"02ff669a","Clínica Activa Mutua 2008","Calle Los Prados, 395, 33203","Tarragona","Cataluña","Spain",NA,"-3.6938470","40.4749540","NCT04622319"
"25",8,"02ff669a","Clínica Activa Mutua 2008","Calle Los Prados, 395, 33203","Tarragona","Cataluña","Spain",NA,"-3.6938470","40.4749540","NCT04733118"
"26",8,"02ff669a","Clínica Activa Mutua 2008","Calle Los Prados, 395, 33203","Tarragona","Cataluña","Spain",NA,"-3.6938470","40.4749540","NCT04953910"
"27",8,"02ff669a","Clínica Activa Mutua 2008","Calle Los Prados, 395, 33203","Tarragona","Cataluña","Spain",NA,"-3.6938470","40.4749540","NCT05171049"
"28",9,"0303f28f","Hospital Sierrallana","Calle Sant Joan De Deu, 7, 07007","Torrelavega","Cantabria","Spain","+34 92 589 29 83","-6.2360560","36.5978210","NCT03786926"
"29",9,"0303f28f","Hospital Sierrallana","Calle Sant Joan De Deu, 7, 07007","Torrelavega","Cantabria","Spain","+34 92 589 29 83","-6.2360560","36.5978210","NCT03820830"
"30",9,"0303f28f","Hospital Sierrallana","Calle Sant Joan De Deu, 7, 07007","Torrelavega","Cantabria","Spain","+34 92 589 29 83","-6.2360560","36.5978210","NCT04603183"
"31",9,"0303f28f","Hospital Sierrallana","Calle Sant Joan De Deu, 7, 07007","Torrelavega","Cantabria","Spain","+34 92 589 29 83","-6.2360560","36.5978210","NCT04988295"
"32",9,"0303f28f","Hospital Sierrallana","Calle Sant Joan De Deu, 7, 07007","Torrelavega","Cantabria","Spain","+34 92 589 29 83","-6.2360560","36.5978210","NCT05296746"
"33",9,"0303f28f","Hospital Sierrallana","Calle Sant Joan De Deu, 7, 07007","Torrelavega","Cantabria","Spain","+34 92 589 29 83","-6.2360560","36.5978210","NCT04674683"
"34",11,"038dff84","Hospital San Eloy","Lugar Santiso, S/N, 15821","Barakaldo","País Vasco","Spain","+34 98 619 28 69","-0.9057090","41.6309840","NCT03424005"
"35",11,"038dff84","Hospital San Eloy","Lugar Santiso, S/N, 15821","Barakaldo","País Vasco","Spain","+34 98 619 28 69","-0.9057090","41.6309840","NCT04191499"
"36",11,"038dff84","Hospital San Eloy","Lugar Santiso, S/N, 15821","Barakaldo","País Vasco","Spain","+34 98 619 28 69","-0.9057090","41.6309840","NCT04807972"
"37",11,"038dff84","Hospital San Eloy","Lugar Santiso, S/N, 15821","Barakaldo","País Vasco","Spain","+34 98 619 28 69","-0.9057090","41.6309840","NCT04873362"
"38",11,"038dff84","Hospital San Eloy","Lugar Santiso, S/N, 15821","Barakaldo","País Vasco","Spain","+34 98 619 28 69","-0.9057090","41.6309840","NCT04999969"
"39",11,"038dff84","Hospital San Eloy","Lugar Santiso, S/N, 15821","Barakaldo","País Vasco","Spain","+34 98 619 28 69","-0.9057090","41.6309840","NCT04674683"
"40",12,"0390dd6d","Hospital Del Norte","Calle Camilo Jose Cela, 20, 07014","Icod de los Vinos","Canarias","Spain","+34 90 445 87 46","-3.8617050","40.3132140","NCT03969004"
"41",12,"0390dd6d","Hospital Del Norte","Calle Camilo Jose Cela, 20, 07014","Icod de los Vinos","Canarias","Spain","+34 90 445 87 46","-3.8617050","40.3132140","NCT05398094"
"42",13,"03f66a23","Instituto Psiquiátrico Servicios De Salud Mental Jose Germain - 2 Aragon","Calle Autovia Sevilla-Huelva, S/N, 21080","Leganés","Comunidad de Madrid","Spain","+34 96 432 60 29","1.5387390","41.2261780","NCT04044859"
"43",13,"03f66a23","Instituto Psiquiátrico Servicios De Salud Mental Jose Germain - 2 Aragon","Calle Autovia Sevilla-Huelva, S/N, 21080","Leganés","Comunidad de Madrid","Spain","+34 96 432 60 29","1.5387390","41.2261780","NCT04113616"
"44",13,"03f66a23","Instituto Psiquiátrico Servicios De Salud Mental Jose Germain - 2 Aragon","Calle Autovia Sevilla-Huelva, S/N, 21080","Leganés","Comunidad de Madrid","Spain","+34 96 432 60 29","1.5387390","41.2261780","NCT04993677"
"45",14,"0400ab6a","Hospital HM Nuevo Belén","C. Alejo Fernández, 9, 41003","Madrid","Comunidad de Madrid","Spain","+34 90 680 68 27","-3.8884420","40.4029900","NCT02861573"
"46",16,"04a2e087","Hospital Santa Clotilde","Carretera Carretera De Logroño, S/N, 26500","Santander","Cantabria","Spain","+34 96 749 93 87","-6.9236000","37.2795970","NCT04484623"
"47",16,"04a2e087","Hospital Santa Clotilde","Carretera Carretera De Logroño, S/N, 26500","Santander","Cantabria","Spain","+34 96 749 93 87","-6.9236000","37.2795970","NCT04546009"
"48",16,"04a2e087","Hospital Santa Clotilde","Carretera Carretera De Logroño, S/N, 26500","Santander","Cantabria","Spain","+34 96 749 93 87","-6.9236000","37.2795970","NCT04855929"
"49",16,"04a2e087","Hospital Santa Clotilde","Carretera Carretera De Logroño, S/N, 26500","Santander","Cantabria","Spain","+34 96 749 93 87","-6.9236000","37.2795970","NCT04949256"
"50",16,"04a2e087","Hospital Santa Clotilde","Carretera Carretera De Logroño, S/N, 26500","Santander","Cantabria","Spain","+34 96 749 93 87","-6.9236000","37.2795970","NCT05002270"
"51",17,"04f07a1d","Hospital Campo Arañuelo","Avenida De San Julian, 1, 16003","Navalmoral de la Mata","Extremadura","Spain","+34 94 508 53 86","1.8437570","41.4925490","NCT05267106"
"52",18,"05022ca2","IIS.ES - Instituto del Sueño en Madrid","Calle Franz Schubert, 2, 50012","Madrid","Comunidad de Madrid","Spain","+34 96 329 86 59","-0.0360140","39.9972250","NCT03816163"
"53",18,"05022ca2","IIS.ES - Instituto del Sueño en Madrid","Calle Franz Schubert, 2, 50012","Madrid","Comunidad de Madrid","Spain","+34 96 329 86 59","-0.0360140","39.9972250","NCT04191499"
"54",18,"05022ca2","IIS.ES - Instituto del Sueño en Madrid","Calle Franz Schubert, 2, 50012","Madrid","Comunidad de Madrid","Spain","+34 96 329 86 59","-0.0360140","39.9972250","NCT04378647"
"55",18,"05022ca2","IIS.ES - Instituto del Sueño en Madrid","Calle Franz Schubert, 2, 50012","Madrid","Comunidad de Madrid","Spain","+34 96 329 86 59","-0.0360140","39.9972250","NCT04961996"
"56",18,"05022ca2","IIS.ES - Instituto del Sueño en Madrid","Calle Franz Schubert, 2, 50012","Madrid","Comunidad de Madrid","Spain","+34 96 329 86 59","-0.0360140","39.9972250","NCT05153239"
"57",20,"05b81283","Hospital Comarcal De Vinaròs","Carretera Acces Cala Sant Francesc, 5, 17300","Vinaròs","Comunitat Valenciana","Spain","+34 90 139 93 19","-5.1874800","36.4082430","NCT03093116"
"58",20,"05b81283","Hospital Comarcal De Vinaròs","Carretera Acces Cala Sant Francesc, 5, 17300","Vinaròs","Comunitat Valenciana","Spain","+34 90 139 93 19","-5.1874800","36.4082430","NCT04160546"
