"","hospital_id","name","addr","city","region","country","phone","long","lat"
"1","214eb259","Distrito Sanitario de Almería","Ronda Rector Arolas, S/N, 17600","Almería","Andalucía","Spain",NA,"-3.6727050","40.4331320"
"2","d7eb4d6b","Hospital Marítimo de Oza","Avenida Gran Via, 203, 08908","A Coruña","Galicia","Spain","+34 92 510 63 51","2.1214150","41.3970880"
"3","194f8ead","Hospital do Meixoeiro","Avenida Ejercito Español, 10, 23007","Vigo","Galicia","Spain",NA,"-16.7146280","28.0499390"
"4","554b48cd","Centro De Atención Especializada Oroitu","Calle Eladio Salinero De Los Santos, 6, 06011","Getxo","País Vasco","Spain","+34 97 553 27 59","-5.6984970","43.5454600"
"5","05022ca2","IIS.ES - Instituto del Sueño en Madrid","Calle Franz Schubert, 2, 50012","Madrid","Comunidad de Madrid","Spain","+34 96 329 86 59","-0.0360140","39.9972250"
"6","6cdceeae","Centro de Neurología Avanzada (CNA)","Carretera De Colmenar Viejo, KM.16, 28049","Sevilla","Andalucía","Spain",NA,"-0.4624840","39.4509530"
"7","c500c666","CAP de San Juan","Carretera Puente Genave - La Puerta De Segura, Km. 0,300, S/N, 23350","Salamanca","Castilla y León","Spain","+34 98 834 36 11","-3.6032880","40.0320930"
"8","5ddbae43","Fundación CITA-alzhéimer Fundazioa","Avenida Pablo Iglesias, 92, 33204","Donostia-San Sebastián","País Vasco","Spain",NA,"3.3294860","39.5451980"
"9","890abb32","Instituto de Neurociencias (INc)","Calle Goieta Kalea, 32, 48610","Barcelona","Cataluña","Spain",NA,"2.0857950","41.3826240"
"10","e7b7f72a","Unitat de Recerca - Ace Alzheimer Center Barcelona (Fundació ACE)","Plaza Doctor Robert, 5, 08221","Barcelona","Cataluña","Spain","+34 98 184 40 72","-0.9527000","37.7379240"
"11","dfa51b65","Barcelonabeta Brain Research Center","Calle Torre Del Cerezo (San Juan De Mozarrifar), 17, 50820","Barcelona","Cataluña","Spain",NA,"0.9037850","41.7599720"
"12","9dc827d6","Martínez Hervás Cardiólogos","Carretera Valverde, 0, 06800","Granada","Andalucía","Spain","+34 90 607 40 18","-3.8742156","40.4502064"
"13","6566add5","Centre d'Atenció Primària Cap 17 de setembre","Paseo Castellana, 83, 28046","El Prat de Llobregat","Cataluña","Spain","+34 92 939 37 35","0.5159440","40.8139980"
"14","e5e9cac5","INCLIVA Institut d'Investigació Sanitària","Calle Ponent, 15, 03110","València","Comunitat Valenciana","Spain",NA,"-0.6851590","38.2596550"
"15","615fa579","CAP Sant Martí de Provençals","Avenida Gava, 38, 08840","Barcelona","Cataluña","Spain","+34 90 497 91 86","1.9391210","42.4408210"
"16","00d40fd9","EAP | Sardenya","C. de Menéndez y Pelayo, 4, 46010","Barcelona","Cataluña","Spain",NA,"-2.9154280","43.2583270"
"17","473e358f","Institut Català de Serveis Mèdics SA.","Calle Asociacion, S/N, 30500","Girona","Cataluña","Spain","+34 98 214 90 49","2.1283690","41.4054510"
"18","596b7532","Hospital Universitario San Agustín","Camino Del Bosc, S/N, 43800","Avilés","Asturias","Spain",NA,"-0.2175500","39.6797300"
"19","568e534d","Clínica NTDE - Nuevas Tecnologías en Diabetes y Endocrinología","Avenida Manuel Fraga Iribarne, 2, 28055","Sevilla","Andalucía","Spain","+34 99 553 29 37","1.4305700","38.9073900"
"20","5abd0031","Centro Nacional de Investigaciones Cardiovasculares (CNIC)","Calle Muntaner, 314, 08021","Madrid","Comunidad de Madrid","Spain","+34 90 761 82 42","2.6464720","39.5752330"
"21","0ca41679","Hospital General Universitario de Toledo","Calle Fontecha Y Salazar, 6, 48007","Toledo","Castilla - La Mancha","Spain",NA,"2.1652280","41.4073330"
"22","e805bf05","Hospital Universitario Infanta Cristina","Calle Antonio Machado, S/N, 50600","Parla","Comunidad de Madrid","Spain",NA,"-6.5280280","43.5464510"
"23","374c15b9","GenesisCare Jerez de la Frontera","Calle Victor Hugo, 24, 08174","Jerez de la Frontera","Andalucía","Spain",NA,"-2.6038480","39.2787140"
"24","6c4513fa","Hospital Materno-Infantil Teresa Herrera","Paseo Isabel La Catolica, 1-3, 50009","A Coruña","Galicia","Spain","+34 94 934 58 37","-4.7932800","37.9085770"
"25","6e8a7b31","Hospital Universitario Lucus Augusti","Avenida Ambulatorio, S/N, 11650","Lugo","Galicia","Spain","+34 97 378 25 73","-3.3818980","38.0177240"
"26","97fd4c03","Instituto de Oncología Avanzada (CIMA)","Carretera De Manresa A Solsona. Cami De Les Torres, C-55, 08250","Barcelona","Cataluña","Spain",NA,"-3.6130950","40.1602720"
"27","34dd0232","HM CIOCC: Centro Integral Oncológico Clara Campal","Avenida Marie Curie, S/N, 28822","Madrid","Comunidad de Madrid","Spain","+34 91 465 36 75","3.8392830","40.0022850"
"28","e5ba8bf4","Hospital Álvaro Cunqueiro","Calle Lepant, 13-21, 08301","Vigo","Galicia","Spain","+34 91 517 37 91","-2.4416110","42.4682730"
"29","d5c28438","Servicio Madrileño de Salud","Paseo Lucas Mallada, 22, 22006","Madrid","Comunidad de Madrid","Spain","+34 94 512 42 60","-1.8688990","38.1061120"
"30","0a6f4e09","Hospital Provincial Nuestra Señora de la Montaña","Calle Salamanca, 5, 36211","Cáceres","Extremadura","Spain",NA,"-5.3482560","36.1611790"
"31","896b79b0","Espai Sanitari Campanar-Ernest Lluch","Via Romana, S/N, 07800","València","Comunitat Valenciana","Spain","+34 91 821 18 85","-17.1119380","28.0922970"
"32","a6a2623b","Hospital IMSKE | Traumatología y Rehabilitación","Calle Gaviotas (Las), 22, 38437","València","Comunitat Valenciana","Spain","+34 90 705 78 46","-5.5935760","42.6076660"
"33","8aae9e43","Ctd Vilareal","Avenida De Jerez, 59, 41013","Vila-real","Comunitat Valenciana","Spain","+34 98 300 38 84","-2.9421440","43.2612590"
"34","0cc89ec9","Centro de Asistencia Terapéutica Barcelona","Calle Pin I Soler, 12, 43002","Barcelona","Cataluña","Spain",NA,"2.1543640","41.4109660"
"35","1aab413b","Proyecto Hombre Castilla la Mancha","Calle Dolores De La Rocha, 5, 35001","Guadalajara","Castilla - La Mancha","Spain","+34 98 246 37 95","-3.7102840","40.5543110"
"36","2834e175","Hospital Insular de Lanzarote","Calle Pons I Gallarza, 90, 07004","Arrecife","Canarias","Spain",NA,"-5.2727440","38.3032110"
