trial_code;hospital_id
NCT01351103;130bd358
NCT01351103;6d6046e1
NCT01351103;a7c8be5f
NCT01351103;337a187e
NCT01351103;a471a342
NCT01351103;4611670a
NCT01351103;3bae964d
NCT01804686;1c0e92f4
NCT01804686;12abb9e7
NCT02194842;fd7c6e16
NCT02194842;8ed402bb
NCT02194842;6cdceeae
NCT02194842;5e59b42f
NCT02194842;39612ade
NCT02194842;d4a1f4e8
NCT02275286;fef0b169
NCT02275286;4e1aeb0c
NCT02275286;95b53331
NCT02275286;3378af33
NCT02275286;75de569d
NCT02275286;5f2da6d6
NCT02303821;23f799a1
NCT02448420;08eb075d
NCT02448420;7a367d9c
NCT02448420;5df03eb3
NCT02448420;cad1f698
NCT02448420;014c74a5
NCT02448420;af8a240e
NCT02448420;b0128a3d
NCT02448420;e57c3243
NCT02448420;1a84ddf7
NCT02448420;e43561c9
NCT02448420;958b05f3
NCT02448420;87bcb322
NCT02448420;81f30df9
NCT02448420;e0d4287a
NCT02448420;89d63d5e
NCT02448420;d5c28438
NCT02448420;78dfd8ec
NCT02448420;08c60077
NCT02448420;a0d6ebe1
NCT02448420;55ff5670
NCT02448420;3576f4e4
NCT02448420;40dfd9b5
NCT02448420;3a04daad
NCT02448420;e08dd841
NCT02448420;0f6a5ff3
NCT02448420;ac317423
NCT02500407;5e528ef3
NCT02500407;c8bb9f11
NCT02576431;6da16a80
NCT02576431;72d991a5
NCT02576431;3c5efef0
NCT02576431;1f7c8ee8
NCT02576431;1e42835c
NCT02576431;16d2b41e
NCT02576431;5c31aa5b
NCT02576431;d57d0a12
NCT02576431;c26bf648
NCT02576431;214eb259
NCT02576431;070437ea
NCT02576431;385b9a3c
NCT02598661;3756181d
NCT02611024;29e4de37
NCT02611024;374c15b9
NCT02611024;61290c6c
NCT02611024;817737a5
NCT02611024;a5a61bae
NCT02611024;3c5efef0
NCT02611024;571dbaba
NCT02628067;07536efc
NCT02628067;94fb08e9
NCT02628067;75d9fbd4
NCT02629692;dfa51b65
NCT02629692;d298c8c9
NCT02629692;6f765624
NCT02685605;4a356ef0
NCT02715284;e7f76e74
NCT02715284;4f1fc8a9
NCT02715284;60bccda4
NCT02715284;20d3af65
NCT02715284;be8539a9
NCT02715284;c8bb9f11
NCT02715284;65a5dbaf
NCT02715284;7d54d0bc
NCT02715284;4aa43d0a
NCT02715284;60708dde
NCT02715284;e4b0221a
NCT02715284;2f468dc2
NCT02715284;ceaf5cc4
NCT02773030;63f30e2b
NCT02773030;1a1091f6
NCT02773030;7a4bd446
NCT02773030;f1ff9973
NCT02799706;a24ff1bc
NCT02799706;b4502765
NCT02817633;94fb08e9
NCT02817633;6566add5
NCT02831959;81e3cc2a
NCT02848001;dc8f539a
NCT02848001;f7caa93e
NCT02848001;219bd912
NCT02899052;3f0adfbc
NCT02912949;384dc925
NCT02912949;db38d73e
NCT02912949;acda8877
NCT02912949;7622794d
NCT02912949;36dec096
NCT02912949;385b9a3c
NCT02960022;623dde96
NCT02969083;3e912a4f
NCT02969083;734eb4fb
NCT02969083;e41e90ae
NCT02969083;145782b2
NCT02969083;6c4433b1
NCT02969083;e1cf361d
NCT02969083;b5a06c86
NCT02986516;c8101d54
NCT03006172;643abfe9
NCT03006172;72d991a5
NCT03069469;41c7f0a5
NCT03069469;a0b5398c
NCT03075696;43d15f87
NCT03075696;d76acae1
NCT03075696;effbe64e
NCT03075696;c9f1cf47
NCT03075696;5a3c9ba7
NCT03093116;b963ade6
NCT03093116;21e9b33e
NCT03093116;1cce4f3a
NCT03093116;98785999
NCT03093116;39612ade
NCT03093116;d0c14027
NCT03093116;05b81283
NCT03114319;aecb0036
NCT03114319;5df03eb3
NCT03114319;5e528ef3
NCT03114319;5b454c2a
NCT03145181;e5e750d3
NCT03145181;c64b00d0
NCT03157128;5070000
NCT03157128;9596dcb5
NCT03157128;90ddf73c
NCT03165734;0a905273
NCT03175224;7e139329
NCT03175224;5f2da6d6
NCT03175224;2,83E+178
NCT03175224;384dc925
NCT03175224;08c60077
NCT03175224;8598924d
NCT03175224;3c4daa8c
NCT03175224;bce223b0
NCT03175224;54107721
NCT03175224;cc18dc2c
NCT03175224;d4252b8c
NCT03178552;1e42835c
NCT03178552;369368c8
NCT03178552;1d552b57
NCT03178552;8d96c04e
NCT03178552;601ca0f8
NCT03178552;5f342291
NCT03178552;d72d2b62
NCT03178552;300b6042
NCT03178552;5c31aa5b
NCT03178552;1a37096c
NCT03178552;dfa51b65
NCT03178552;254dedca
NCT03178552;abe8323e
NCT03212404;c46a9032
NCT03212404;24e9c06a
NCT03212404;6b0405cb
NCT03212404;82bfc550
NCT03212404;cfdf42cd
NCT03242382;1d209abd
NCT03242382;8b76dd05
NCT03242382;6bf901ed
NCT03242382;a77ed7ec
NCT03242382;554b48cd
NCT03242382;abe8323e
NCT03242382;8,79E+85
NCT03242382;e7f76e74
NCT03250338;791683bd
NCT03260023;213a2a01
NCT03260023;0616d64d
NCT03260023;da44b86c
NCT03260023;ea4e499f
NCT03260023;1,01E+09
NCT03260023;fe4d9781
NCT03267316;ef05b789
NCT03275103;fe5ecf11
NCT03277924;6b72295e
NCT03277924;12b249e4
NCT03277924;81fee6f1
NCT03277924;fa5aacc4
NCT03277924;ec38c1d2
NCT03310957;596b7532
NCT03310957;1,01E+09
NCT03310957;eaccc94c
NCT03310957;ad1f9faf
NCT03319940;230e274b
NCT03319940;be8539a9
NCT03319940;77808a26
NCT03319940;c06af0d1
NCT03319940;194f8ead
NCT03328884;3d330944
NCT03328884;5f342291
NCT03328884;c0aaac41
NCT03328884;c64b00d0
NCT03328884;255d0d07
NCT03328884;d5c28438
NCT03328884;d5653f49
NCT03328884;0fa243c2
NCT03328884;9a5b41c0
NCT03328884;554b48cd
NCT03337698;65d53108
NCT03337698;c086ff58
NCT03337698;9769aaec
NCT03337698;be79e106
NCT03337698;2be66701
NCT03362177;5b4be63a
NCT03362177;c9f1cf47
NCT03362177;cfdf42cd
NCT03362177;1cba5473
NCT03369223;6ff161ac
NCT03369223;65d53108
NCT03369223;a9993451
NCT03369223;bfd0de7c
NCT03369223;0f8d3b42
NCT03369223;6fcaaf8c
NCT03369223;b457a0be
NCT03377491;98364377
NCT03377491;01520f2c
NCT03377491;3e21c175
NCT03377491;168a085d
NCT03377491;dcbd7804
NCT03377491;9,56E+12
NCT03377491;5b0803dd
NCT03377491;b20e1260
NCT03377491;d5a663fb
NCT03390504;63949518
NCT03390504;f314817a
NCT03390504;be8539a9
NCT03390504;ff9661b6
NCT03390504;3431454
NCT03390504;c64b00d0
NCT03390504;30ad16f7
NCT03390504;d4a1f4e8
NCT03390504;f16e000e
NCT03390504;2c64e9ae
NCT03390504;8,79E+85
NCT03390504;214eb259
NCT03390504;c36bf3eb
NCT03390504;ac5fcb60
NCT03390504;b3c24f92
NCT03390504;4aa43d0a
NCT03390504;583b971f
NCT03390504;1,01E+09
NCT03390504;ad6b5e7c
NCT03391778;ad1f9faf
NCT03391778;d5a663fb
NCT03399799;57298d6d
NCT03399799;91dd839b
NCT03399799;1a2cac2c
NCT03399799;90b89484
NCT03399799;e4ec5fcf
NCT03399799;91a7638c
NCT03399799;b6a14168
NCT03410615;b2463ab2
